"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"67198"	58	84	34	113	36	171	33	345	162	133	102	31	403	132
"51960"	157	117	101	178	123	115	149	321	119	108	186	37	164	230
"68549"	831	700	950	973	702	563	871	1674	1052	1225	1211	223	552	594
"11761"	0	0	0	0	0	0	1	0	1	0	12	0	0	3
"71724"	0	0	0	0	0	0	2	0	0	1	0	0	0	0
"71872"	4	1	3	1	3	2	1	0	1	2	0	0	0	0
"213043"	7	1	8	5	0	1	5	5	3	7	3	0	2	4
"66882"	6590	8204	5294	8968	5221	7834	8398	9415	8332	5245	13331	1412	9448	10185
"12747"	2188	1326	2299	1592	1650	1494	2379	3611	2606	2861	1648	538	2199	1954
"70225"	516	440	424	577	424	382	574	669	510	303	731	162	430	627
"65102"	577	492	370	785	397	553	750	999	612	258	1033	79	674	834
"18393"	799	691	716	1336	642	792	879	2423	987	719	1826	277	1072	1177
"100504455"	10	2	2	1	5	3	2	9	7	4	5	0	4	4
"213056"	599	1470	474	1308	455	847	495	1627	995	610	1003	209	951	1162
"66495"	1146	1127	793	769	952	882	1386	1032	987	679	970	204	1009	984
"100504501"	118	195	197	171	143	119	125	358	101	165	113	90	135	137
"108812"	45	82	16	24	31	70	11	36	49	52	25	51	34	21
"12633"	820	2225	861	1971	716	1741	978	2929	1201	1136	1788	514	2157	2168
"12370"	2906	4737	3009	4088	2458	3776	4029	7097	3324	2886	3390	1568	3677	3598
"70827"	1243	2795	1573	3070	1035	2471	2184	4990	1892	1877	3918	460	4467	2852
"227154"	647	731	399	287	437	521	711	235	601	298	379	68	401	252
"73463"	0	2	2	0	1	0	1	0	2	0	0	0	2	0
"381259"	1734	3429	2210	1217	1045	545	2915	772	486	333	491	561	488	738
"227157"	183	276	204	67	124	29	333	85	26	17	26	42	30	36
"74018"	1548	2380	1570	1107	1005	906	2037	1385	962	601	1246	292	1051	821
"271697"	0	0	0	1	0	0	2	0	0	0	0	0	0	0
"14369"	1446	1643	2073	3492	1295	1757	2810	4506	1754	1632	1777	446	2145	3029
"381260"	1	0	1	0	0	2	0	0	0	0	0	0	1	0
"22218"	1784	1961	1519	1529	1397	1419	1987	2309	1890	1426	2103	776	1885	1715
"55989"	4985	3610	4936	6660	4285	3174	4780	11900	4049	3914	7181	2052	4127	6118
"100217459"	0	1	0	0	0	1	0	0	1	1	2	0	1	1
"100217421"	1	0	0	0	0	0	1	0	1	1	0	0	0	1
"12168"	247	1223	500	1141	275	947	485	2267	895	1018	1246	457	1366	1150
"100504533"	132	83	101	107	58	56	100	89	67	49	81	24	94	104
"72750"	3812	2480	2617	2528	3293	3293	4224	3858	5379	3196	2592	422	3158	2185
"70375"	19	14	17	5	10	15	24	16	29	33	7	4	18	10
"57750"	740	597	584	1030	619	582	856	1615	643	496	1281	154	613	858
